experience;exp(++, +, -, 0)
10y 3m;++
~12y;++
3y 10m;++
1y 3m;+
5y 6m;++
8y 7m;++
9y;++
5y 10m;++
6y 3m;++
?;
11y 3m;++
2y 2m;++
1y 2m;+
5y 8m;++
3y 8m;++
8y 6m;++
13y 10m;++
7y 2m;++
6y;++
~5y 2m ?;++
14y 10m;++
1y 7m;+
7y 1m;++
19y;++
4y 7m;++
12y 8m;++
5m?;0
2y;++
9y 4m;++
9y 8m;++
13y 9m;++
~24y;++
12y 10m;++
?;+
~10y;++
~11y;++
3y 4m;++
19y 4m;++
~5y;++
9m;+
~8m;+
15y 4m;++
10y;++
1y 8m;
4y 1m;++
11y 2m;++
7y 6m;++
7y 4m;++
9y (incl apprentice);++
~18y;++
7y 9m;++
8y 3m;++
6y 2m;++
>2y 7m;++
7y 10m;++
~7y 7m;++
4y 2m;++
~3y;++
9y 10m;++
~20y;
5m;
5y 5m;++
2y 10m;++
~6y;++
~9y;++
10y 9m;++
10y 2m;++
2y 9m;++
8y 8m;++
11y 11m;++
3y;++
13y 1m;++
4y 8m;++
~8y?;++
13m;+
~7y;++
9y 9m;++
10y 1m;++
~22y;++
3y 9m;++
6y 9m;++
6y 6m;
~8y;++
1y;+
9y 7m;++
~4y (part time);++
8y 11m;++
~13y;++
13y 6m;++
~1y?;
3y 3m;+
11y 6m;++
10y 4m;++
2y 3m?;++
5y 4m;++
18y 1m;
1m?;-
2y 8m;++
~2y;
16y 6m;
12y;++
~4y;++
3y 11m (40%);++
17y 6m;++
10m;+
3y 5m;++
2y 3m;++
8y 4m;++
13y;++
6y 1m;++
13y 8m;
6y 8m;++
5y 7m;++
~14y;++
6y 7m + 4y Lehre;++
19 m;+
16y 2m;++
18y 6m;++
7y 8m;++
2y 1m;++
11y 7m;++
-;-
9y 11m;++
5y 3m;++
2y 4m;++
3y 2m;++
3y 1m;+
was kann alles angerechnet werden?;+
16y 4m;++
9y 5m;++
~4 y;++
~15y;++
~16y 6m;++
11y 4m;++
20y 11m;++
10y 8m;++
6y 5m;++
8y 9m;++
12y 5m;++
7y 7m;++
8y 1m;++
14y 2m;++
4y;++
9y 6m;++
5y 9m;++
13y 5m;++
3y 3m;++
14y 5m;++
3y 8m (~4y);++
4y 3m;++
~2y;+
1y 7m;
~6y 5m;++
~1.5y;+
9y 1m;++
4y 6m;++
11y 8m;++
1y 8m;+
~17y;++
4y 5m (50%);++
~3y 8m;++
~5y 5m;++
