student;university;grade
1;1;4.7
2;2;4.8
3;3;5.2
4;4;4.8
5;5;4.7
6;4;5
7;6;4.5
8;7;4.6
9;8;5
10;9;
11;10;4.7
12;11;4.8
13;12;5.2
14;13;4.6
15;14;4.8
16;4;4.8
17;2;4.7
18;15;4.6
19;16;5.3
20;14;5
21;17;5.5
22;18;4.9
23;19;5
24;20;4.8
25;21;5.4
26;4;4.6
27;14;5.1
28;22;>5.20
29;4;5.4 ?
30;15;4.8
31;23;4.9
32;2;5.1
33;24;5
34;2;4.8
35;2;4.9
36;4;5.2
37;16;4.9
38;25;4.9
39;26;5.1
40;27;5
41;28;5.2
42;29;?
43;30;4.8
44;31;
45;19;
46;8;4.3
47;14;4.7
48;8;
49;32;5.3
50;33;5
51;34;4.8
52;35;5
53;36;4.9
54;37;4.8
55;38;4.8
56;39;5.2
57;40;5.1
58;41;5
59;42;5
60;42;4.6
61;16;4.8
62;43;4.7
63;44;4.6
64;4;4.7?
65;45;
66;6;5.7
67;46;4.8
68;16;4.7
69;47;4.6
70;48;
71;2;
72;4;
73;49;
74;40;4.9
75;50;
76;51;
77;48;
78;48;
79;52;
80;53;
81;54;4.4
82;55;5.3
83;4;4.8
84;56;5
85;4;4.9
86;8;5.3
87;6;5
88;57;5.5
89;58;5.1
90;59;5.2
91;13;5
92;8;5
93;4;5
94;8;4.8
95;60;4.7
96;8;4.7
97;61;5.2
98;62;5
99;4;4.8
100;29;5.2
101;8;5
102;14;4.7
103;48;
104;20;4.8
105;63;5.4
106;55;4.9
107;23;4.8
108;4;5.6
109;64;4.8
110;65;4.7
111;12;5.2
112;4;4.7
113;25;5.5
114;58;4.5
115;66;
116;2;5.4
117;16;4.84
118;4;5.4
119;67;4.2
120;68;4.7
121;69;5
122;57;4.6
123;2;5.7
124;70;4.9
125;71;5.4
126;72;
127;4;5.2
128;73;
129;4;4.5
130;14;4.2?
131;16;4.9
132;74;4.5?
133;14;5.3?
134;2;4.49
135;72;
136;75;5.2
137;58;4.9
138;76;5.2
139;75;5.2
140;4;5.2
141;77;4.8
142;8;5.3
143;16;4.9
144;48;
145;6;4.9
146;78;4.8
147;79;5.2 - 5.5?
148;80;4.7
149;81;
150;2;5.2
151;8;5.1
152;21;4.6
153;82;~5.0
154;83;4.6
155;8;5.3
156;2;5.1
157;84;5.3
158;8;4.34
159;63;5
160;4;4.8
161;85;5.3
162;8;4.8
163;62;5.3
164;86;
165;87;5.4?
166;4;5.1
167;88;5.5
168;89;4.9
169;8;5.4
170;13;5.16
171;4;4.8
172;4;5.4
173;8;4.3
174;77;5.4
175;53;5.7
176;48;
177;90;4.8
178;91;5.1
179;58;4.8
180;4;4.7
181;14;4.7
182;12;5.1
183;4;5.5
184;8;5.2
185;4;5.1
186;54;4.6
187;92;
188;74;4.8
189;90;4.9
190;4;4.9
191;2;4.7
192;38;4.9
193;8;5.1
194;4;4.8
195;12;4.7
196;4;4.8
197;4;5.3
198;77;5.4
199;93;5.5
200;12;4.8
201;8;4.8
202;57;5.2
203;94;5
204;95;5.4
205;96;5.5
206;4;4.8
207;4;4.46
208;97;5.2?
209;98;4.7?
210;13;4.5
211;4;5
212;41;4.8
213;99;4.7
214;100;5.1
215;41;4.6
216;4;4.6
217;67;5.2
218;101;5.2
219;4;5.5
220;87;4.7
221;8;5
222;12;4.6
223;102;5
224;2;5.7
225;4;4.6
226;12;4.9
227;2;5.1
228;4;4.8
229;57;4.6
230;13;4.8
231;4;4.75
232;4;4.5
233;31;
234;11;4.8
235;103;
236;24;5.2 ?
237;27;4.7
238;10;4.7
239;4;4.9
240;17;4.9
241;23;4.1?
242;74;5
243;8;5.3
244;23;5.2?
245;4;4.6
246;4;5.1
247;104;5.2
248;54;5
249;105;4.9
250;78;4.8
251;92;
252;8;4.5625
253;106;4.9
254;6;5.2
255;77;5.4
256;3;4.2
257;53;
258;6;
259;54;5.5
260;107;5?
261;108;
262;60;5.2
263;109;5
264;17;5.3
265;11;4.8
266;110;5.4
267;111;
268;2;?
269;18;4.4
270;4;4.5
271;84;4.9
272;112;
273;2;5.2
274;2;4.6
275;25;4.9
276;8;4.6
277;67;5.1
278;113;4.5
279;8;5.6
280;4;5.1
281;48;
282;12;4.7
283;114;
284;31;
285;115;
